Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate,Assessment District,Taxing Body Count,Assessment Ratio,Cook County Equalization Factor,Effective Property Tax Rate,Tax Rate Proportion,ETR Share
2006,27008,30920501,TIF Village of Oak Park-Harlem Ave/Garfield Ave,0,9.455,Oak Park,16,8.4,2.7076,2.150430072,0,0
2006,27008,30920001,Village of Oak Park Library Fund,0.521,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.05510312,0.118495406
2006,27008,30920000,Village of Oak Park,1.119,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.118350079,0.25450357
2006,27008,20180004,Oak Park Mental Health District,0.087,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.009201481,0.019787141
2006,27008,20180002,General Assistance Oak Park,0.028,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.002961396,0.006368275
2006,27008,20180000,Town Oak Park,0.126,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.013326282,0.028657238
2006,27008,10020000,Forest Preserve District of Cook County,0.057,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.006028556,0.012963989
2006,27008,40580000,School District 97,3.136,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.331676362,0.713246822
2006,27008,10010001,Consolidated Elections,0,9.455,Oak Park,16,8.4,2.7076,2.150430072,0,0
2006,27007,990020000,Suburban Tuberculosis Sanitarium,0.005,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.000528821,0.001137192
2006,27007,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.00126917,0.002729261
2006,27007,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.284,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.030037017,0.064592506
2006,27007,50760000,Oak Park Park District,0.435,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.046007403,0.098935704
2006,27007,43020000,Triton Community College District 504,0.24,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.025383395,0.054585216
2006,27007,42020000,Consolidated High School 200,2.905,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.307244844,0.660708552
2006,27007,40580000,School District 97,3.136,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.331676362,0.713246822
2006,27008,10010000,Cook County,0.5,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.052882073,0.1137192
2006,27008,42020000,Consolidated High School 200,2.905,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.307244844,0.660708552
2006,27008,43020000,Triton Community College District 504,0.24,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.025383395,0.054585216
2006,27008,50760000,Oak Park Park District,0.435,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.046007403,0.098935704
2006,27009,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.284,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.030037017,0.064592506
2006,27009,50760000,Oak Park Park District,0.435,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.046007403,0.098935704
2006,27009,43020000,Triton Community College District 504,0.24,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.025383395,0.054585216
2006,27009,42020000,Consolidated High School 200,2.905,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.307244844,0.660708552
2006,27009,40580000,School District 97,3.136,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.331676362,0.713246822
2006,27009,30920502,TIF Village of Oak Park-Madison St Business Cord,0,9.455,Oak Park,16,8.4,2.7076,2.150430072,0,0
2006,27009,30920001,Village of Oak Park Library Fund,0.521,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.05510312,0.118495406
2006,27009,30920000,Village of Oak Park,1.119,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.118350079,0.25450357
2006,27009,20180004,Oak Park Mental Health District,0.087,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.009201481,0.019787141
2006,27009,20180002,General Assistance Oak Park,0.028,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.002961396,0.006368275
2006,27009,20180000,Town Oak Park,0.126,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.013326282,0.028657238
2006,27009,10020000,Forest Preserve District of Cook County,0.057,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.006028556,0.012963989
2006,27009,10010001,Consolidated Elections,0,9.455,Oak Park,16,8.4,2.7076,2.150430072,0,0
2006,27009,10010000,Cook County,0.5,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.052882073,0.1137192
2006,27008,990020000,Suburban Tuberculosis Sanitarium,0.005,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.000528821,0.001137192
2006,27008,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.00126917,0.002729261
2006,27008,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.284,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.030037017,0.064592506
2006,27007,30920103,Village of Oak Park Special Service Area 4,0,9.455,Oak Park,16,8.4,2.7076,2.150430072,0,0
2006,27007,30920001,Village of Oak Park Library Fund,0.521,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.05510312,0.118495406
2006,27007,30920000,Village of Oak Park,1.119,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.118350079,0.25450357
